0,614.66,0.998,100.0,0,0.040
0,77.75,0.998,0.0,0,0.039
10,296.79,0.978,54.5,0,0.039
20,153.75,0.959,42.9,0,0.039
30,272.72,0.940,45.2,0,0.038
40,182.13,0.921,41.5,0,0.040
50,124.23,0.903,37.3,0,0.038
60,230.64,0.885,36.1,0,0.039
70,360.56,0.867,39.4,0,0.039
80,346.06,0.850,40.7,0,0.040
90,172.45,0.833,40.7,0,0.040
100,396.27,0.817,45.0,0,0.035
110,140.10,0.801,42.0,0,0.039
120,409.34,0.785,46.0,0,0.040
130,432.36,0.769,49.0,0,0.040
140,389.59,0.754,52.0,0,0.036
150,297.72,0.739,54.0,0,0.040
160,393.00,0.724,56.0,0,0.040
170,407.03,0.710,57.0,0,0.040
180,490.61,0.696,62.0,0,0.040
190,376.89,0.682,65.0,0,0.040
200,334.58,0.669,63.0,0,0.034
210,515.06,0.655,70.0,0,0.040
220,382.46,0.642,71.0,0,0.040
230,433.71,0.630,71.0,0,0.040
240,287.09,0.617,71.0,0,0.040
250,484.84,0.605,76.0,0,0.040
260,98.49,0.593,74.0,0,0.033
270,225.91,0.581,73.0,0,0.040
280,541.47,0.570,72.0,0,0.040
290,187.91,0.558,69.0,0,0.039
300,385.17,0.547,71.0,0,0.040
310,80.94,0.537,65.0,0,0.039
320,-18.12,0.526,59.0,0,0.039
330,-74.76,0.515,53.0,0,0.032
340,476.93,0.505,56.0,0,0.040
350,436.72,0.495,56.0,0,0.040
360,42.51,0.485,57.0,0,0.030
370,-37.06,0.476,54.0,0,0.030
380,172.29,0.466,50.0,0,0.038
390,-7.40,0.457,49.0,0,0.030
400,70.00,0.448,45.0,0,0.040
410,75.46,0.439,46.0,0,0.030
420,368.81,0.430,52.0,0,0.030
430,31.36,0.422,54.0,0,0.036
440,118.81,0.414,50.0,0,0.031
450,188.02,0.405,47.0,0,0.030
460,257.10,0.397,50.0,0,0.040
470,120.73,0.389,52.0,0,0.030
480,311.57,0.382,55.0,0,0.035
490,112.16,0.374,57.0,0,0.034
500,331.46,0.367,61.0,0,0.039
510,-34.54,0.360,59.0,0,0.030
520,103.40,0.352,56.0,0,0.030
530,87.55,0.345,57.0,0,0.040
540,26.08,0.339,56.0,0,0.030
550,80.87,0.332,55.0,0,0.030
560,14.28,0.325,51.0,0,0.040
570,40.59,0.319,50.0,0,0.030
580,-44.74,0.312,45.0,0,0.030
590,-15.22,0.306,43.0,0,0.040
600,-225.89,0.300,36.0,0,0.030
610,213.04,0.294,40.0,0,0.040
620,-266.72,0.288,37.0,0,0.040
630,-227.10,0.283,34.0,0,0.030
640,-363.47,0.277,31.0,0,0.030
650,-179.53,0.272,29.0,0,0.030
660,114.58,0.266,32.0,0,0.040
670,88.71,0.261,34.0,0,0.040
680,-361.46,0.256,32.0,0,0.030
690,93.70,0.251,35.0,0,0.030
700,-50.88,0.246,38.0,0,0.040
710,182.26,0.241,38.0,0,0.030
720,-456.61,0.236,36.0,0,0.030
730,458.69,0.231,44.0,0,0.040
740,5.82,0.227,48.0,0,0.030
750,-364.38,0.222,46.0,0,0.030
760,358.52,0.218,49.0,0,0.040
770,281.90,0.214,52.0,0,0.041
780,177.30,0.209,58.0,0,0.040
790,324.78,0.205,61.0,0,0.040
800,339.89,0.201,66.0,0,0.040
810,422.63,0.197,69.0,0,0.040
820,254.75,0.193,77.0,0,0.040
830,272.77,0.189,75.0,0,0.040
840,311.06,0.186,78.0,0,0.030
850,198.49,0.182,84.0,0,0.040
860,254.65,0.178,83.0,0,0.030
870,-47.47,0.175,79.0,0,0.040
880,-53.63,0.171,77.0,0,0.041
890,151.71,0.168,75.0,0,0.040
900,273.94,0.165,74.0,0,0.040
910,420.77,0.161,74.0,0,0.040
920,346.11,0.158,75.0,0,0.040
930,450.99,0.155,77.0,0,0.040
940,237.97,0.152,77.0,0,0.040
950,467.05,0.149,80.0,0,0.040
960,279.06,0.146,80.0,0,0.041
970,313.64,0.143,84.0,0,0.040
980,263.25,0.140,87.0,0,0.040
990,340.87,0.138,89.0,0,0.030
1000,341.84,0.135,90.0,0,0.040
1010,174.16,0.132,87.0,0,0.040
1020,220.44,0.130,86.0,0,0.040
1030,492.08,0.127,86.0,0,0.040
1040,-50.82,0.124,83.0,0,0.040
1050,455.71,0.122,83.0,0,0.040
1060,176.07,0.120,82.0,0,0.040
1070,343.82,0.117,82.0,0,0.040
1080,275.97,0.115,82.0,0,0.031
1090,87.55,0.113,79.0,0,0.040
1100,323.28,0.110,79.0,0,0.040
1110,451.26,0.108,82.0,0,0.040
1120,-6.58,0.106,79.0,0,0.030
1130,277.38,0.104,77.0,0,0.030
1140,432.89,0.102,82.0,0,0.040
1150,-11.65,0.100,77.0,0,0.040
1160,149.36,0.100,77.0,0,0.040
1170,413.90,0.100,78.0,0,0.040
1180,165.10,0.100,77.0,0,0.040
1190,349.19,0.100,80.0,0,0.040
1200,157.92,0.100,78.0,0,0.030
1210,-1.55,0.100,73.0,0,0.040
1220,326.92,0.100,77.0,0,0.040
1230,187.87,0.100,76.0,0,0.040
1240,221.49,0.100,74.0,0,0.040
1250,258.85,0.100,78.0,0,0.040
1260,363.13,0.100,80.0,0,0.030
1270,25.50,0.100,75.0,0,0.030
1280,368.87,0.100,77.0,0,0.040
1290,172.03,0.100,76.0,0,0.040
1300,303.26,0.100,78.0,0,0.040
1310,195.59,0.100,81.0,0,0.040
1320,320.64,0.100,81.0,0,0.040
1330,437.79,0.100,84.0,0,0.040
1340,401.52,0.100,86.0,0,0.040
1350,-43.83,0.100,82.0,0,0.040
1360,289.79,0.100,81.0,0,0.040
1370,243.22,0.100,84.0,0,0.040
1380,187.54,0.100,82.0,0,0.040
1390,239.75,0.100,82.0,0,0.041
1400,-44.11,0.100,78.0,0,0.040
1410,383.18,0.100,80.0,0,0.040
1420,456.52,0.100,81.0,0,0.040
1430,424.82,0.100,81.0,0,0.040
1440,224.94,0.100,79.0,0,0.040
1450,-48.48,0.100,79.0,0,0.030
1460,340.99,0.100,80.0,0,0.040
1470,428.70,0.100,82.0,0,0.041
1480,426.51,0.100,85.0,0,0.040
1490,415.90,0.100,87.0,0,0.041
1500,259.28,0.100,90.0,0,0.034
1510,296.20,0.100,89.0,0,0.041
1520,273.96,0.100,87.0,0,0.030
1530,376.71,0.100,86.0,0,0.030
