2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 46/139: grid_20251201_172119_399864_000459.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 47/139: grid_20251201_172119_399864_000469.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 48/139: grid_20251201_172119_399864_000479.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 49/139: grid_20251201_172119_399864_000489.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 50/139: grid_20251201_172119_399864_000499.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 51/139: grid_20251201_172119_399864_000509.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 52/139: grid_20251201_172119_399864_000519.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 53/139: grid_20251201_172119_399864_000529.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 54/139: grid_20251201_172119_399864_000539.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 55/139: grid_20251201_172119_399864_000549.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 56/139: grid_20251201_172119_399864_000559.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 57/139: grid_20251201_172119_399864_000569.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 58/139: grid_20251201_172119_399864_000579.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 59/139: grid_20251201_172119_399864_000589.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 60/139: grid_20251201_172119_399864_000599.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 61/139: grid_20251201_172119_399864_000609.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 62/139: grid_20251201_172119_399864_000619.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 63/139: grid_20251201_172119_399864_000629.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 64/139: grid_20251201_172119_399864_000639.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 65/139: grid_20251201_172119_399864_000649.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 66/139: grid_20251201_172119_399864_000659.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 67/139: grid_20251201_172119_399864_000669.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 68/139: grid_20251201_172119_399864_000679.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 69/139: grid_20251201_172119_399864_000689.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 70/139: grid_20251201_172119_399864_000699.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 71/139: grid_20251201_172119_399864_000709.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 72/139: grid_20251201_172119_399864_000719.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 73/139: grid_20251201_172119_399864_000729.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 74/139: grid_20251201_172119_399864_000739.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 75/139: grid_20251201_172119_399864_000749.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 76/139: grid_20251201_172119_399864_000759.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 77/139: grid_20251201_172119_399864_000769.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 78/139: grid_20251201_172119_399864_000779.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 79/139: grid_20251201_172119_399864_000789.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 80/139: grid_20251201_172119_399864_000799.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 81/139: grid_20251201_172119_399864_000809.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 82/139: grid_20251201_172119_399864_000819.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 83/139: grid_20251201_172119_399864_000829.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 84/139: grid_20251201_172119_399864_000839.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 85/139: grid_20251201_172119_399864_000849.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 86/139: grid_20251201_172119_399864_000859.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 87/139: grid_20251201_172119_399864_000869.npy
