2025-12-22 10:57:58 | MainThread   | INFO     | [2.33] 模拟时间:0.37 深度:0.032 弹性变形:-0.0808  执行器力: 2.17 0.01N 速度: -0.0100m/s
2025-12-22 10:57:58 | MainThread   | INFO     | [2.39] 模拟时间:0.38 深度:0.032 弹性变形:-0.0808  执行器力: 2.17 0.01N 速度: -0.0100m/s
2025-12-22 10:57:58 | MainThread   | INFO     | [2.46] 模拟时间:0.39 深度:0.032 弹性变形:-0.0808  执行器力: 2.17 0.01N 速度: -0.0100m/s
2025-12-22 10:57:58 | MainThread   | INFO     | [2.52] 模拟时间:0.40 深度:0.032 弹性变形:-0.0808  执行器力: 2.17 0.01N 速度: -0.0100m/s
2025-12-22 10:57:58 | MainThread   | INFO     | [2.58] 模拟时间:0.41 深度:0.032 弹性变形:-0.0808  执行器力: 2.17 0.01N 速度: -0.0100m/s
2025-12-22 10:57:58 | MainThread   | INFO     | [2.64] 模拟时间:0.42 深度:0.032 弹性变形:-0.0808  执行器力: 2.17 0.01N 速度: -0.0100m/s
2025-12-22 10:57:58 | MainThread   | INFO     | [2.71] 模拟时间:0.43 深度:0.032 弹性变形:-0.0808  执行器力: 2.17 0.01N 速度: -0.0100m/s
2025-12-22 10:57:58 | MainThread   | INFO     | [2.77] 模拟时间:0.44 深度:0.032 弹性变形:-0.0808  执行器力: 2.17 0.01N 速度: -0.0100m/s
2025-12-22 10:57:58 | MainThread   | INFO     | [2.83] 模拟时间:0.45 深度:0.031 弹性变形:-0.0808  执行器力: 2.17 0.01N 速度: -0.0100m/s
2025-12-22 10:57:58 | MainThread   | INFO     | [2.89] 模拟时间:0.46 深度:0.031 弹性变形:-0.0808  执行器力: 2.17 0.01N 速度: -0.0100m/s
2025-12-22 10:57:58 | MainThread   | INFO     | [2.95] 模拟时间:0.47 深度:0.031 弹性变形:-0.0808  执行器力: 2.17 0.01N 速度: -0.0100m/s
2025-12-22 10:57:58 | MainThread   | INFO     | [3.01] 模拟时间:0.48 深度:0.031 弹性变形:-0.0808  执行器力: 2.17 0.01N 速度: -0.0100m/s
2025-12-22 10:57:58 | MainThread   | INFO     | [3.07] 模拟时间:0.49 深度:0.031 弹性变形:-0.0808  执行器力: 2.17 0.01N 速度: -0.0100m/s
2025-12-22 10:57:58 | MainThread   | INFO     | [3.13] 模拟时间:0.50 深度:0.031 弹性变形:-0.0808  执行器力: 2.17 0.01N 速度: -0.0100m/s
2025-12-22 10:57:58 | MainThread   | INFO     | [3.19] 模拟时间:0.51 深度:0.031 弹性变形:-0.0808  执行器力: 2.17 0.01N 速度: -0.0100m/s
2025-12-22 10:57:59 | MainThread   | INFO     | [3.26] 模拟时间:0.52 深度:0.031 弹性变形:-0.0808  执行器力: 2.17 0.01N 速度: -0.0100m/s
2025-12-22 10:57:59 | MainThread   | INFO     | [3.32] 模拟时间:0.53 深度:0.031 弹性变形:-0.0808  执行器力: 2.17 0.01N 速度: -0.0100m/s
2025-12-22 10:57:59 | MainThread   | INFO     | [3.39] 模拟时间:0.54 深度:0.031 弹性变形:-0.0808  执行器力: 2.17 0.01N 速度: -0.0100m/s
2025-12-22 10:57:59 | MainThread   | INFO     | [3.46] 模拟时间:0.55 深度:0.030 弹性变形:-0.0808  执行器力: 2.17 0.01N 速度: -0.0100m/s
2025-12-22 10:57:59 | MainThread   | INFO     | [3.52] 模拟时间:0.56 深度:0.030 弹性变形:-0.0808  执行器力: 2.17 0.01N 速度: -0.0100m/s
