2025-12-25 22:53:52 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0050, Y=-0.0030, TYPE=5
2025-12-25 23:00:51 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0050, Y=-0.0000, TYPE=4
2025-12-25 23:08:00 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0050, Y=0.0020, TYPE=5
2025-12-25 23:16:18 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0050, Y=0.0050, TYPE=5
2025-12-25 23:21:25 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0040, Y=-0.0040, TYPE=4
2025-12-25 23:26:34 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0040, Y=-0.0020, TYPE=5
2025-12-25 23:35:32 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0040, Y=0.0010, TYPE=2
2025-12-25 23:46:26 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0040, Y=0.0040, TYPE=1
2025-12-25 23:52:31 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0040, Y=-0.0060, TYPE=3
2025-12-25 23:58:56 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0040, Y=-0.0030, TYPE=4
