2025-12-29 11:34:13 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0025, Y=0.0040, TYPE=5
2025-12-29 11:43:09 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0030, Y=-0.0055, TYPE=5
2025-12-29 11:47:11 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0030, Y=-0.0035, TYPE=4
2025-12-29 11:54:15 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0030, Y=-0.0010, TYPE=1
2025-12-29 12:00:02 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0030, Y=0.0005, TYPE=3
2025-12-29 12:17:33 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0030, Y=0.0045, TYPE=4
2025-12-29 12:25:27 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0035, Y=-0.0045, TYPE=1
2025-12-29 12:29:43 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0035, Y=-0.0030, TYPE=4
2025-12-29 12:52:11 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0035, Y=0.0040, TYPE=1
2025-12-29 12:57:02 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0035, Y=0.0055, TYPE=4
