2025-12-28 12:17:07 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0050, Y=-0.0040, TYPE=1
2025-12-28 12:21:15 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0050, Y=-0.0020, TYPE=1
2025-12-28 12:25:28 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0050, Y=-0.0010, TYPE=5
2025-12-28 12:32:59 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0050, Y=0.0010, TYPE=3
2025-12-28 12:45:07 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0050, Y=0.0040, TYPE=5
2025-12-28 12:54:06 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0040, Y=-0.0050, TYPE=5
2025-12-28 13:00:53 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0040, Y=-0.0020, TYPE=3
2025-12-28 13:15:00 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0040, Y=0.0020, TYPE=5
2025-12-28 13:26:42 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0040, Y=0.0040, TYPE=5
2025-12-28 13:36:39 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0040, Y=-0.0050, TYPE=2
