2025-12-29 10:17:10 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0020, Y=-0.0030, TYPE=4
2025-12-29 10:25:02 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0020, Y=-0.0005, TYPE=2
2025-12-29 10:37:42 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0020, Y=0.0020, TYPE=4
2025-12-29 10:50:03 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0020, Y=0.0050, TYPE=1
2025-12-29 10:54:39 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0025, Y=-0.0060, TYPE=2
2025-12-29 10:58:27 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0025, Y=-0.0050, TYPE=1
2025-12-29 11:02:47 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0025, Y=-0.0030, TYPE=3
2025-12-29 11:15:23 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0025, Y=0.0005, TYPE=1
2025-12-29 11:23:08 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0025, Y=0.0020, TYPE=4
2025-12-29 11:34:39 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0025, Y=0.0045, TYPE=2
