2025-12-26 07:43:52 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0020, Y=-0.0020, TYPE=2
2025-12-26 07:51:08 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0020, Y=0.0010, TYPE=1
2025-12-26 07:57:56 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0020, Y=0.0020, TYPE=4
2025-12-26 08:07:24 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0020, Y=0.0050, TYPE=1
2025-12-26 08:11:48 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0030, Y=-0.0050, TYPE=1
2025-12-26 08:15:22 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0030, Y=-0.0030, TYPE=3
2025-12-26 08:21:45 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0030, Y=-0.0000, TYPE=2
2025-12-26 08:30:08 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0030, Y=0.0020, TYPE=4
2025-12-26 08:39:57 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0030, Y=0.0050, TYPE=1
2025-12-26 08:43:33 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0030, Y=-0.0060, TYPE=1
