2025-12-29 06:48:43 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0000, Y=-0.0040, TYPE=5
2025-12-29 06:55:54 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0000, Y=-0.0015, TYPE=1
2025-12-29 07:05:52 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0000, Y=0.0005, TYPE=3
2025-12-29 07:26:56 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0000, Y=0.0040, TYPE=2
2025-12-29 07:38:25 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0005, Y=-0.0050, TYPE=4
2025-12-29 07:45:45 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0005, Y=-0.0020, TYPE=2
2025-12-29 07:59:11 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0005, Y=0.0005, TYPE=3
2025-12-29 08:17:59 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0005, Y=0.0040, TYPE=4
2025-12-29 08:41:09 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0010, Y=-0.0010, TYPE=2
2025-12-29 08:58:52 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0010, Y=0.0020, TYPE=2
