2025-12-28 21:55:37 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0055, Y=0.0015, TYPE=1
2025-12-28 22:01:57 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0055, Y=0.0030, TYPE=4
2025-12-28 22:09:48 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0055, Y=0.0055, TYPE=5
2025-12-28 22:14:35 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0050, Y=-0.0045, TYPE=3
2025-12-28 22:24:29 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0050, Y=-0.0010, TYPE=2
2025-12-28 22:32:18 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0050, Y=0.0010, TYPE=2
2025-12-28 22:42:48 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0050, Y=0.0035, TYPE=4
2025-12-28 22:50:15 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0045, Y=-0.0060, TYPE=1
2025-12-28 22:54:39 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0045, Y=-0.0050, TYPE=5
2025-12-28 23:00:29 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0045, Y=-0.0025, TYPE=3
