2025-12-26 08:29:59 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0030, Y=0.0020, TYPE=2
2025-12-26 08:37:22 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0030, Y=0.0040, TYPE=1
2025-12-26 08:41:38 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0030, Y=0.0060, TYPE=3
2025-12-26 08:47:54 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0030, Y=-0.0030, TYPE=3
2025-12-26 08:54:08 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0030, Y=-0.0000, TYPE=1
2025-12-26 08:59:53 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0030, Y=0.0010, TYPE=5
2025-12-26 09:07:24 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0030, Y=0.0030, TYPE=4
2025-12-26 09:14:10 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0030, Y=0.0060, TYPE=5
2025-12-26 09:18:08 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0040, Y=-0.0040, TYPE=1
2025-12-26 09:21:05 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0040, Y=-0.0020, TYPE=4
