2025-12-28 15:26:32 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0030, Y=-0.0010, TYPE=2
2025-12-28 15:35:38 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0030, Y=0.0000, TYPE=3
2025-12-28 15:53:31 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0030, Y=0.0040, TYPE=1
2025-12-28 16:01:00 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0030, Y=0.0050, TYPE=3
2025-12-28 16:10:40 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0020, Y=-0.0040, TYPE=5
2025-12-28 16:17:16 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0020, Y=-0.0020, TYPE=4
2025-12-28 16:27:42 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0020, Y=0.0000, TYPE=1
2025-12-28 16:35:04 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0020, Y=0.0010, TYPE=2
2025-12-28 16:53:01 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0020, Y=0.0040, TYPE=2
2025-12-28 17:05:58 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0020, Y=-0.0060, TYPE=1
