2025-12-26 02:02:33 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0020, Y=0.0020, TYPE=2
2025-12-26 02:11:57 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0020, Y=0.0030, TYPE=5
2025-12-26 02:23:30 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0020, Y=-0.0060, TYPE=3
2025-12-26 02:29:23 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0020, Y=-0.0030, TYPE=5
2025-12-26 02:40:02 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0020, Y=0.0000, TYPE=2
2025-12-26 02:50:01 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0020, Y=0.0030, TYPE=1
2025-12-26 02:55:48 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0020, Y=0.0040, TYPE=1
2025-12-26 03:01:02 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0020, Y=0.0050, TYPE=5
2025-12-26 03:06:46 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0010, Y=-0.0050, TYPE=4
2025-12-26 03:12:56 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0010, Y=-0.0020, TYPE=4
