2025-12-26 17:26:49 | MainThread   | INFO     | 模拟开始: TARGET=0.0070, X=-0.0030, Y=0.0000, TYPE=1
2025-12-26 17:35:35 | MainThread   | INFO     | 模拟开始: TARGET=0.0070, X=-0.0030, Y=0.0010, TYPE=4
2025-12-26 18:01:10 | MainThread   | INFO     | 模拟开始: TARGET=0.0070, X=-0.0030, Y=0.0040, TYPE=2
2025-12-26 18:19:38 | MainThread   | INFO     | 模拟开始: TARGET=0.0070, X=-0.0030, Y=0.0060, TYPE=4
2025-12-26 18:28:36 | MainThread   | INFO     | 模拟开始: TARGET=0.0070, X=-0.0030, Y=-0.0040, TYPE=5
2025-12-26 18:39:10 | MainThread   | INFO     | 模拟开始: TARGET=0.0070, X=-0.0030, Y=-0.0010, TYPE=1
2025-12-26 18:46:35 | MainThread   | INFO     | 模拟开始: TARGET=0.0070, X=-0.0030, Y=0.0000, TYPE=1
2025-12-26 18:55:37 | MainThread   | INFO     | 模拟开始: TARGET=0.0070, X=-0.0030, Y=0.0010, TYPE=5
2025-12-26 19:16:17 | MainThread   | INFO     | 模拟开始: TARGET=0.0070, X=-0.0030, Y=0.0030, TYPE=1
2025-12-26 19:27:50 | MainThread   | INFO     | 模拟开始: TARGET=0.0070, X=-0.0030, Y=0.0050, TYPE=1
