2025-12-29 10:10:56 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0020, Y=-0.0050, TYPE=1
2025-12-29 10:15:55 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0020, Y=-0.0030, TYPE=2
2025-12-29 10:24:42 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0020, Y=-0.0005, TYPE=1
2025-12-29 10:32:47 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0020, Y=0.0010, TYPE=5
2025-12-29 10:42:58 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0020, Y=0.0035, TYPE=1
2025-12-29 10:49:11 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0020, Y=0.0045, TYPE=1
2025-12-29 10:54:25 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0025, Y=-0.0060, TYPE=1
2025-12-29 10:58:03 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0025, Y=-0.0055, TYPE=5
2025-12-29 11:01:58 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0025, Y=-0.0030, TYPE=1
2025-12-29 11:07:46 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0025, Y=-0.0020, TYPE=5
