2025-12-29 08:40:20 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0010, Y=-0.0015, TYPE=4
2025-12-29 08:52:04 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0010, Y=0.0005, TYPE=5
2025-12-29 09:01:06 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0010, Y=0.0025, TYPE=2
2025-12-29 09:14:18 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0010, Y=0.0045, TYPE=5
2025-12-29 09:22:57 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0015, Y=-0.0055, TYPE=5
2025-12-29 09:27:35 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0015, Y=-0.0035, TYPE=5
2025-12-29 09:35:24 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0015, Y=-0.0015, TYPE=4
2025-12-29 09:46:05 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0015, Y=0.0005, TYPE=5
2025-12-29 09:55:28 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0015, Y=0.0030, TYPE=1
2025-12-29 10:03:01 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0015, Y=0.0045, TYPE=3
