2025-12-25 22:07:08 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0010, TYPE=4
2025-12-25 22:07:13 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0010, TYPE=5
2025-12-25 22:07:50 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0010, TYPE=1
2025-12-25 22:07:53 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0010, TYPE=2
2025-12-25 22:08:06 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0010, TYPE=3
2025-12-25 22:08:13 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0010, TYPE=4
2025-12-25 22:08:17 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0010, TYPE=5
2025-12-25 22:08:18 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0000, TYPE=1
2025-12-25 22:08:26 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0000, TYPE=2
2025-12-25 22:08:31 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0000, TYPE=3
2025-12-25 22:08:35 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0000, TYPE=4
2025-12-25 22:08:37 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0000, TYPE=5
2025-12-25 22:08:47 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0000, TYPE=1
2025-12-25 22:08:50 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0000, TYPE=2
2025-12-25 22:09:03 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0000, TYPE=3
2025-12-25 22:09:16 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0000, TYPE=4
2025-12-25 22:09:23 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0000, TYPE=5
