2025-12-29 07:39:30 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0005, Y=-0.0045, TYPE=5
2025-12-29 07:45:41 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0005, Y=-0.0020, TYPE=1
2025-12-29 07:55:18 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0005, Y=-0.0005, TYPE=4
2025-12-29 08:08:29 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0005, Y=0.0020, TYPE=3
2025-12-29 08:19:11 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0005, Y=0.0040, TYPE=5
2025-12-29 08:26:52 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0010, Y=-0.0055, TYPE=2
2025-12-29 08:32:38 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0010, Y=-0.0035, TYPE=4
2025-12-29 08:41:22 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0010, Y=-0.0010, TYPE=4
2025-12-29 08:52:04 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0010, Y=0.0010, TYPE=1
2025-12-29 08:59:07 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0010, Y=0.0020, TYPE=3
