2025-12-26 03:23:42 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0010, Y=0.0010, TYPE=2
2025-12-26 03:34:30 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0010, Y=0.0030, TYPE=4
2025-12-26 03:43:57 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0010, Y=0.0060, TYPE=5
2025-12-26 03:47:50 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0010, Y=-0.0050, TYPE=4
2025-12-26 03:54:02 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0010, Y=-0.0020, TYPE=3
2025-12-26 04:03:09 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0010, Y=0.0000, TYPE=3
2025-12-26 04:12:18 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0010, Y=0.0030, TYPE=3
2025-12-26 04:24:39 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0010, Y=0.0060, TYPE=4
2025-12-26 04:30:27 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0000, Y=-0.0040, TYPE=3
2025-12-26 04:37:55 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0000, Y=-0.0010, TYPE=4
