2025-12-29 12:44:26 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0035, Y=0.0015, TYPE=4
2025-12-29 12:54:06 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0035, Y=0.0045, TYPE=4
2025-12-29 12:59:54 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0040, Y=-0.0055, TYPE=4
2025-12-29 13:03:39 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0040, Y=-0.0035, TYPE=5
2025-12-29 13:09:53 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0040, Y=-0.0010, TYPE=3
2025-12-29 13:20:34 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0040, Y=0.0025, TYPE=2
2025-12-29 13:29:28 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0040, Y=0.0045, TYPE=3
2025-12-29 13:39:44 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0045, Y=-0.0030, TYPE=2
2025-12-29 13:45:23 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0045, Y=-0.0010, TYPE=2
2025-12-29 13:53:09 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0045, Y=0.0015, TYPE=3
