2025-12-29 03:32:58 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0020, Y=0.0030, TYPE=4
2025-12-29 03:45:33 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0020, Y=0.0050, TYPE=3
2025-12-29 03:57:01 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0015, Y=-0.0035, TYPE=1
2025-12-29 04:01:48 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0015, Y=-0.0025, TYPE=5
2025-12-29 04:11:39 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0015, Y=-0.0005, TYPE=2
2025-12-29 04:29:27 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0015, Y=0.0030, TYPE=1
2025-12-29 04:38:52 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0015, Y=0.0040, TYPE=2
2025-12-29 04:49:15 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0010, Y=-0.0060, TYPE=4
2025-12-29 04:55:25 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0010, Y=-0.0040, TYPE=2
2025-12-29 05:04:37 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0010, Y=-0.0020, TYPE=5
