2025-12-28 15:28:26 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0030, Y=-0.0010, TYPE=1
2025-12-28 15:35:51 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0030, Y=0.0000, TYPE=4
2025-12-28 15:48:03 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0030, Y=0.0030, TYPE=2
2025-12-28 15:58:17 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0030, Y=0.0050, TYPE=4
2025-12-28 16:08:31 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0020, Y=-0.0050, TYPE=3
2025-12-28 16:23:14 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0020, Y=-0.0010, TYPE=5
2025-12-28 16:35:56 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0020, Y=0.0010, TYPE=5
2025-12-28 16:49:29 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0020, Y=0.0040, TYPE=1
2025-12-28 16:56:24 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0020, Y=0.0050, TYPE=1
2025-12-28 17:02:20 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=-0.0020, Y=-0.0060, TYPE=1
