2025-12-29 09:50:17 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0015, Y=0.0015, TYPE=3
2025-12-29 10:06:17 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0015, Y=0.0055, TYPE=1
2025-12-29 10:10:07 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0020, Y=-0.0055, TYPE=3
2025-12-29 10:20:36 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0020, Y=-0.0015, TYPE=1
2025-12-29 10:28:11 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0020, Y=0.0000, TYPE=5
2025-12-29 10:37:13 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0020, Y=0.0020, TYPE=3
2025-12-29 10:53:54 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0020, Y=0.0055, TYPE=5
2025-12-29 11:01:04 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0025, Y=-0.0035, TYPE=2
2025-12-29 11:10:30 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0025, Y=-0.0010, TYPE=3
2025-12-29 11:23:01 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0025, Y=0.0020, TYPE=2
