2025-12-29 07:04:10 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0000, Y=0.0000, TYPE=3
2025-12-29 07:20:48 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0000, Y=0.0030, TYPE=3
2025-12-29 07:36:03 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0005, Y=-0.0055, TYPE=3
2025-12-29 07:43:08 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0005, Y=-0.0030, TYPE=4
2025-12-29 08:06:54 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0005, Y=0.0015, TYPE=5
2025-12-29 08:15:11 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0005, Y=0.0035, TYPE=2
2025-12-29 08:23:40 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0005, Y=0.0055, TYPE=1
2025-12-29 08:27:54 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0010, Y=-0.0055, TYPE=5
2025-12-29 08:32:12 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0010, Y=-0.0035, TYPE=2
2025-12-29 08:40:25 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0010, Y=-0.0015, TYPE=5
