2025-12-29 11:46:29 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0030, Y=-0.0035, TYPE=1
2025-12-29 11:52:22 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0030, Y=-0.0015, TYPE=1
2025-12-29 11:59:54 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0030, Y=0.0005, TYPE=2
2025-12-29 12:10:27 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0030, Y=0.0030, TYPE=2
2025-12-29 12:18:50 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0030, Y=0.0050, TYPE=5
2025-12-29 12:25:22 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0035, Y=-0.0050, TYPE=5
2025-12-29 12:30:18 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0035, Y=-0.0025, TYPE=2
2025-12-29 12:37:48 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0035, Y=-0.0005, TYPE=4
2025-12-29 12:45:16 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0035, Y=0.0020, TYPE=4
2025-12-29 12:56:00 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0035, Y=0.0050, TYPE=3
