2025-12-29 12:56:05 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0035, Y=0.0050, TYPE=4
2025-12-29 13:03:34 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0040, Y=-0.0035, TYPE=4
2025-12-29 13:09:11 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0040, Y=-0.0010, TYPE=1
2025-12-29 13:14:39 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0040, Y=0.0005, TYPE=2
2025-12-29 13:22:56 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0040, Y=0.0030, TYPE=1
2025-12-29 13:27:11 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0040, Y=0.0040, TYPE=2
2025-12-29 13:34:08 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0045, Y=-0.0055, TYPE=2
2025-12-29 13:39:15 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0045, Y=-0.0035, TYPE=3
2025-12-29 13:47:44 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0045, Y=-0.0005, TYPE=5
2025-12-29 13:53:49 | MainThread   | INFO     | 模拟开始: TARGET=0.0062, X=0.0045, Y=0.0015, TYPE=5
