2025-12-27 02:25:53 | MainThread   | INFO     | 模拟开始: TARGET=0.0070, X=0.0000, Y=-0.0040, TYPE=4
2025-12-27 02:35:42 | MainThread   | INFO     | 模拟开始: TARGET=0.0070, X=0.0000, Y=-0.0020, TYPE=4
2025-12-27 02:51:45 | MainThread   | INFO     | 模拟开始: TARGET=0.0070, X=0.0000, Y=0.0010, TYPE=3
2025-12-27 03:19:08 | MainThread   | INFO     | 模拟开始: TARGET=0.0070, X=0.0000, Y=0.0040, TYPE=4
2025-12-27 03:36:45 | MainThread   | INFO     | 模拟开始: TARGET=0.0070, X=0.0010, Y=-0.0060, TYPE=2
2025-12-27 03:42:22 | MainThread   | INFO     | 模拟开始: TARGET=0.0070, X=0.0010, Y=-0.0050, TYPE=3
2025-12-27 03:51:30 | MainThread   | INFO     | 模拟开始: TARGET=0.0070, X=0.0010, Y=-0.0020, TYPE=1
2025-12-27 04:02:03 | MainThread   | INFO     | 模拟开始: TARGET=0.0070, X=0.0010, Y=-0.0000, TYPE=4
2025-12-27 04:20:13 | MainThread   | INFO     | 模拟开始: TARGET=0.0070, X=0.0010, Y=0.0020, TYPE=3
2025-12-27 05:02:10 | MainThread   | INFO     | 模拟开始: TARGET=0.0070, X=0.0010, Y=-0.0050, TYPE=1
