2025-12-27 09:09:37 | MainThread   | INFO     | 模拟开始: TARGET=0.0070, X=0.0030, Y=0.0050, TYPE=5
2025-12-27 09:20:13 | MainThread   | INFO     | 模拟开始: TARGET=0.0070, X=0.0030, Y=-0.0040, TYPE=1
2025-12-27 09:26:31 | MainThread   | INFO     | 模拟开始: TARGET=0.0070, X=0.0030, Y=-0.0020, TYPE=3
2025-12-27 09:39:56 | MainThread   | INFO     | 模拟开始: TARGET=0.0070, X=0.0030, Y=0.0010, TYPE=4
2025-12-27 09:51:05 | MainThread   | INFO     | 模拟开始: TARGET=0.0070, X=0.0030, Y=0.0030, TYPE=2
2025-12-27 10:06:22 | MainThread   | INFO     | 模拟开始: TARGET=0.0070, X=0.0030, Y=0.0060, TYPE=1
2025-12-27 10:10:13 | MainThread   | INFO     | 模拟开始: TARGET=0.0070, X=0.0040, Y=-0.0060, TYPE=5
2025-12-27 10:14:58 | MainThread   | INFO     | 模拟开始: TARGET=0.0070, X=0.0040, Y=-0.0040, TYPE=1
2025-12-27 10:20:30 | MainThread   | INFO     | 模拟开始: TARGET=0.0070, X=0.0040, Y=-0.0020, TYPE=3
2025-12-27 10:35:20 | MainThread   | INFO     | 模拟开始: TARGET=0.0070, X=0.0040, Y=0.0010, TYPE=3
