2025-12-25 23:49:18 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0040, Y=0.0050, TYPE=4
2025-12-25 23:55:42 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0040, Y=-0.0050, TYPE=5
2025-12-26 00:01:06 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0040, Y=-0.0020, TYPE=1
2025-12-26 00:06:22 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0040, Y=-0.0000, TYPE=4
2025-12-26 00:14:00 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0040, Y=0.0020, TYPE=1
2025-12-26 00:20:30 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0040, Y=0.0040, TYPE=3
2025-12-26 00:28:28 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0030, Y=-0.0060, TYPE=5
2025-12-26 00:32:58 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0030, Y=-0.0030, TYPE=5
2025-12-26 00:41:48 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0030, Y=-0.0000, TYPE=5
2025-12-26 00:51:12 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0030, Y=0.0030, TYPE=2
