2025-12-26 10:17:06 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0050, Y=-0.0000, TYPE=3
2025-12-26 10:24:14 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0050, Y=0.0030, TYPE=3
2025-12-26 10:30:31 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0050, Y=0.0060, TYPE=1
2025-12-26 10:33:04 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0050, Y=-0.0050, TYPE=1
2025-12-26 10:36:02 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0050, Y=-0.0030, TYPE=3
2025-12-26 10:42:08 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0050, Y=0.0000, TYPE=5
2025-12-26 10:49:29 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0050, Y=0.0030, TYPE=5
2025-12-26 10:54:41 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0050, Y=0.0060, TYPE=4
2025-12-26 10:58:05 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0060, Y=-0.0040, TYPE=3
2025-12-26 11:02:06 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0060, Y=-0.0010, TYPE=1
