2025-12-25 16:22:01 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0010, Y=-0.0020
2025-12-25 16:29:30 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0000, Y=-0.0050
2025-12-25 16:34:41 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0000, Y=-0.0050
2025-12-25 16:39:55 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0000, Y=0.0010
2025-12-25 16:46:02 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0010, Y=-0.0000
2025-12-25 16:54:25 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0020, Y=-0.0040
2025-12-25 16:58:27 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0020, Y=0.0020
2025-12-25 17:05:45 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0030, Y=-0.0040
2025-12-25 17:09:19 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0030, Y=-0.0000
2025-12-25 17:14:58 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0030, Y=0.0050
