0,-259.81,0.998,0.0,0,0.037
0,320.66,0.998,100.0,0,0.040
10,-70.32,0.978,36.4,0,0.040
20,32.47,0.959,42.9,0,0.040
0,2020.60,0.998,100.0,0,0.040
0,-29.60,0.998,0.0,0,0.036
10,214.97,0.978,45.5,0,0.038
20,109.20,0.959,38.1,0,0.033
30,35.82,0.940,32.3,0,0.036
40,87.69,0.921,31.7,0,0.035
50,96.52,0.903,33.3,0,0.040
60,204.88,0.885,36.1,0,0.036
70,350.01,0.867,40.8,0,0.039
80,263.35,0.850,43.2,0,0.038
90,111.72,0.833,41.8,0,0.038
100,438.38,0.817,47.0,0,0.040
110,322.89,0.801,48.0,0,0.037
120,400.05,0.785,53.0,0,0.040
130,376.11,0.769,58.0,0,0.038
